gamma,seed,sustained_flip_rate,flip_fraction,sbi_mean,median_delta_q_post,source_file
0.5,1,0.0,0.0,0.0,nan,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_5_lq_0_2_lvec_1_0_stepsxphase_50000\seed_1\diagnostics\gamma_0_5__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.5,2,0.0,0.0,0.0,nan,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_5_lq_0_2_lvec_1_0_stepsxphase_50000\seed_2\diagnostics\gamma_0_5__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.5,3,0.0,0.0,0.0,nan,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_5_lq_0_2_lvec_1_0_stepsxphase_50000\seed_3\diagnostics\gamma_0_5__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.7,1,0.35,0.18829999999999997,0.0011101766654505443,-0.8231549453820522,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_7_lq_0_2_lvec_1_0_stepsxphase_50000\seed_1\diagnostics\gamma_0_7__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.7,2,0.0,0.0,0.0,nan,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_7_lq_0_2_lvec_1_0_stepsxphase_50000\seed_2\diagnostics\gamma_0_7__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.7,3,0.0,0.0,0.0,nan,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_7_lq_0_2_lvec_1_0_stepsxphase_50000\seed_3\diagnostics\gamma_0_7__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.8,1,0.4,0.16655000000000003,0.0,-1.2494665825195184,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_8_lq_0_2_lvec_1_0_stepsxphase_50000\seed_1\diagnostics\gamma_0_8__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.8,2,0.25,0.1513,0.08592735334108305,-0.6616686458084644,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_8_lq_0_2_lvec_1_0_stepsxphase_50000\seed_2\diagnostics\gamma_0_8__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.8,3,0.35,0.13999999999999999,0.0,-1.794910846613802,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_8_lq_0_2_lvec_1_0_stepsxphase_50000\seed_3\diagnostics\gamma_0_8__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.9,1,0.4,0.19804999999999998,0.05122228092769796,-0.8362279995697781,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_9_lq_0_2_lvec_1_0_stepsxphase_50000\seed_1\diagnostics\gamma_0_9__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.9,2,0.55,0.3325,0.13988591062704653,0.08701198120288679,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_9_lq_0_2_lvec_1_0_stepsxphase_50000\seed_2\diagnostics\gamma_0_9__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.9,3,0.85,0.561,0.3398055392692326,0.3511698001323656,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_9_lq_0_2_lvec_1_0_stepsxphase_50000\seed_3\diagnostics\gamma_0_9__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.95,1,0.6,0.3702,0.11735134632556901,-1.7021725589429968,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_95_lq_0_2_lvec_1_0_stepsxphase_50000\seed_1\diagnostics\gamma_0_95__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.95,2,1.0,0.7313999999999999,0.06884251054738687,-0.6116881868717179,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_95_lq_0_2_lvec_1_0_stepsxphase_50000\seed_2\diagnostics\gamma_0_95__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.95,3,0.45,0.25060000000000004,0.00720788573370258,-0.7868091816325085,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_95_lq_0_2_lvec_1_0_stepsxphase_50000\seed_3\diagnostics\gamma_0_95__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.97,1,1.0,0.8312000000000002,0.6367512420227107,-1.486774618467182,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_97_lq_0_2_lvec_1_0_stepsxphase_50000\seed_1\diagnostics\gamma_0_97__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.97,2,0.8,0.46604999999999996,1.044116710719614,1.942422565955642,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_97_lq_0_2_lvec_1_0_stepsxphase_50000\seed_2\diagnostics\gamma_0_97__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.97,3,0.6,0.33085,0.5477370984286519,1.6004328069570573,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_97_lq_0_2_lvec_1_0_stepsxphase_50000\seed_3\diagnostics\gamma_0_97__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.99,1,1.0,0.7346999999999999,1.2046317689260824,1.3348569107845354,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_99_lq_0_2_lvec_1_0_stepsxphase_50000\seed_1\diagnostics\gamma_0_99__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.99,2,1.0,0.8808,3.8660855556144313,3.9729193927507076,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_99_lq_0_2_lvec_1_0_stepsxphase_50000\seed_2\diagnostics\gamma_0_99__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
0.99,3,1.0,0.6657499999999998,0.6159674044603567,-0.6876116879144669,C:\Users\fusil\Desktop\RL PROJECT\rl-with-sf-for-mujoco\artifacts\eval_gamma_0_99_lq_0_2_lvec_1_0_stepsxphase_50000\seed_3\diagnostics\gamma_0_99__phase_0__mode_sf_action_optimization__model_sf__task_backward\rollout_dynamics_timeseries_def.json
